,Model,First Half,Second Half,IS,FID
0,models/right.pth,1,9,1.8314185752699377,656.7724602975596
1,models/right.pth,1,1,2.239477180943622,863.6909247284317
2,models/right.pth,9,1,2.0380418461362795,790.9647006412677
3,models/right.pth,9,9,1.8991800505064629,635.4648189858801
4,models/both.pth,1,9,2.0195600616466267,419.7408040919322
5,models/both.pth,1,1,2.266820578164303,431.75461260787455
6,models/both.pth,9,1,2.0352976544934194,435.78721025722217
7,models/both.pth,9,9,1.9114437102680384,476.4446935529492
8,models/left.pth,1,9,2.3189364726084634,897.3871092966392
9,models/left.pth,1,1,2.191156543510128,1060.7153063632923
10,models/left.pth,9,1,2.1131752176965315,1041.276409096568
11,models/left.pth,9,9,2.0597538446369312,802.1776643156704
12,models/none.pth,1,9,1.8995823353895656,320.5908527247772
13,models/none.pth,1,1,2.068189860671664,374.738123567058
14,models/none.pth,9,1,1.9629577728794452,399.4865615983874
15,models/none.pth,9,9,1.8742921524386946,292.8963087445237
