,Model,First Half,Second Half,IS,FID
0,models/right.pth,1,9,1.7247289100751675,578.4214715756854
1,models/right.pth,1,1,1.782552161055571,782.0820307459244
2,models/right.pth,9,1,1.7710604195108872,709.5773795662953
3,models/right.pth,9,9,1.7431741545183492,572.3854764225428
4,models/both.pth,1,9,1.8368264043480433,433.3788757117607
5,models/both.pth,1,1,2.030647006671162,465.7601254812503
6,models/both.pth,9,1,1.8792369514512313,461.35844185157276
7,models/both.pth,9,9,1.8473390151193407,474.8389782180707
8,models/left.pth,1,9,1.9459143511706798,803.6651050678822
9,models/left.pth,1,1,1.8808968701612283,867.566180756708
10,models/left.pth,9,1,1.7912037054625347,848.7962701975941
11,models/left.pth,9,9,1.8016921130788675,672.5990263877947
12,models/none.pth,1,9,1.8888976135745075,337.7011019096505
13,models/none.pth,1,1,1.8545275071144853,429.2986110585567
14,models/none.pth,9,1,1.8461415861960835,437.9808630645864
15,models/none.pth,9,9,1.8617532446585372,312.5583010531657
