,Model,First Half,Second Half,IS,FID
0,models/right.pth,1,9,1.7289625208771753,534.3936740294641
1,models/right.pth,1,1,1.764929182985356,746.666836887234
2,models/right.pth,9,1,1.693088744546421,674.5792424726624
3,models/right.pth,9,9,1.7353904524772663,522.165092793399
4,models/both.pth,1,9,1.8891251528615975,396.30863968536437
5,models/both.pth,1,1,2.0029237681062595,433.29097845702285
6,models/both.pth,9,1,1.9300118618695035,420.30626932837714
7,models/both.pth,9,9,1.885839771329507,419.5862633270706
8,models/left.pth,1,9,1.9404316544475648,746.5454348951414
9,models/left.pth,1,1,1.899299759541183,845.8750351054869
10,models/left.pth,9,1,1.7799664571412088,817.3399651743802
11,models/left.pth,9,9,1.7992203104887377,621.1581859631315
12,models/none.pth,1,9,1.9470580178041659,293.48707125676174
13,models/none.pth,1,1,1.8332782650575026,388.374302718375
14,models/none.pth,9,1,1.8278869755001874,392.53510009362554
15,models/none.pth,9,9,1.9030760248564782,259.9408322398587
